land_id,edge,row,signal,die_pad,land_x_mm,land_y_mm,die_x_um,die_y_um
T1,T,0,VSS,T2,75.275,99.193,97850.169,78631.569
T2,T,1,VDD08D,T3,75.977,100.393,97943.269,78631.569
T3,T,0,VSS,T4,76.679,99.193,98057.071,78631.569
T4,T,1,SEL_APB_SPI_N,T5,77.381,100.393,98150.171,78631.569
T5,T,0,VSS,T6,78.083,99.193,98243.271,78631.569
T6,T,1,VSS,T7,78.785,100.393,98357.072,78631.569
T7,T,0,SDA,T8,79.487,99.193,98450.173,78631.569
T8,T,1,VDD08PA,T9,80.189,100.393,98543.272,78631.569
T9,T,0,VDD08D,T10,80.891,99.193,98657.074,78631.569
T10,T,1,SCL,T11,81.593,100.393,98750.175,78631.569
T11,T,0,VDD08DLL<7>,T12,82.295,99.193,98843.274,78631.569
T12,T,1,VDD18PLL<7>,T13,82.997,100.393,98957.075,78631.569
T13,T,0,VDD08DLL<6>,T14,83.699,99.193,99050.177,78631.569
T14,T,1,VSS,T15,84.401,100.393,99143.275,78631.569
T15,T,0,VDD18PLL<6>,T16,85.103,99.193,99257.079,78631.569
T16,T,1,LB_PCLK,T17,85.805,100.393,99350.179,78631.569
T17,T,0,VDD08PA,T18,86.507,99.193,99443.279,78631.569
T18,T,1,VSS,T19,87.209,100.393,99557.081,78631.569
T19,T,0,VDD50PD,T20,87.911,99.193,99650.181,78631.569
T20,T,1,VDD08PA,T21,88.613,100.393,99743.281,78631.569
T21,T,0,VSS,T22,89.315,99.193,99857.083,78631.569
T22,T,1,RESET_N,T23,90.017,100.393,99950.183,78631.569
T23,T,0,VDD08TIA,T24,90.719,99.193,100043.283,78631.569
T24,T,1,VSSTIA,T25,91.421,100.393,100157.085,78631.569
T25,T,0,VDD08,T26,92.123,99.193,100250.185,78631.569
T26,T,1,VDD08D,T27,92.825,100.393,100343.285,78631.569
T27,T,0,VDD08PA,T28,93.527,99.193,100457.087,78631.569
T28,T,1,VDD08,T29,94.229,100.393,100550.187,78631.569
T29,T,0,VSSTIA,T30,94.931,99.193,100643.287,78631.569
T30,T,1,VDD08TIA,T31,95.633,100.393,100757.089,78631.569
T31,T,0,SDI,T32,96.335,99.193,100850.189,78631.569
T32,T,1,VSS,T33,97.037,100.393,100943.285,78631.569
T33,T,0,VDD08PA,T34,97.739,99.193,101057.091,78631.569
T34,T,1,CSB,T35,98.441,100.393,101150.191,78631.569
T35,T,0,VDD08D,T36,99.143,99.193,101243.291,78631.569
