Pad,Signal,X (um),Y (um),Land #,Hdr #,Net Class,I/O
B10,VDD08BIAS<1>,1045.417,-4925.771,111,J1-11,Power,INPUT1
B11,VDD08BIAS<1>,1138.518,-4925.771,110,J1-10,Power,INPUT1
B12,VDD08DLL<5>,1231.617,-4925.771,109,J1-9,Power,INPUT0
B13,VDD18PLL<5>,1345.418,-4925.771,108,J1-8,Power,INPUT2
B14,VSS,1438.52,-4925.771,Ring 4,,Power,
B15,VSS,1531.618,-4925.771,Ring 4,,Power,
B16,VDD18PLL<4>,1645.422,-4925.771,107,J1-7,Power,INPUT2
B17,VDD08DLL<4>,1738.522,-4925.771,106,J1-6,Power,INPUT0
B18,VDD08PA,1831.622,-4925.771,105,J1-5,Power,INPUT3
B19,VSS,1945.424,-4925.771,Ring 4,,Power,
B20,VDD18_BG<1>,2038.524,-4925.771,104,J1-4,Power,INPUT4
B21,VDD08PA,2131.624,-4925.771,103,J1-3,Power,INPUT3
B22,VSS,2245.426,-4925.771,Ring 4,,Power,
B23,VDD08PA_SNS,2338.526,-4925.771,102,J1-2,Analog,OUTPUT7
B24,VDD08TIA,2431.626,-4925.771,101,J1-1,Power,INPUT5
B25,VSSTIA,2545.428,-4925.771,Ring 4,,Power,
B26,VDD08,2638.528,-4925.771,99,J1-49,Power,INPUT6
B27,VDD08D,2731.628,-4925.771,98,J1-48,Power,INPUT7
B28,VDD08PA,2845.43,-4925.771,97,J1-47,Power,INPUT3
B29,VDD08,2938.53,-4925.771,96,J1-46,Power,INPUT6
B3,VSS,331.612,-4925.771,Ring 4,,Power,
B30,VSSTIA,3031.63,-4925.771,Ring 4,,Power,
B31,VDD08TIA,3145.432,-4925.771,94,J1-44,Power,INPUT5
B32,VDD08TIA_SNS,3238.532,-4925.771,93,J1-43,Analog,OUTPUT8
B33,VSS,3331.628,-4925.771,Ring 4,,Power,
B34,VDD08PA,3445.434,-4925.771,92,J1-42,Power,INPUT3
B35,VDD18_BG<0>,3538.534,-4925.771,91,J1-41,Power,INPUT4
B36,VSS,3631.634,-4925.771,Ring 4,,Power,
B37,VDD08PA,3745.436,-4925.771,90,J1-40,Power,INPUT3
B38,VDD08DLL<2>,3838.536,-4925.771,89,J1-39,Power,INPUT0
B39,VDD18PLL<2>,3931.636,-4925.771,88,J1-38,Power,INPUT2
B4,CLKOUTP_MUX,445.414,-4925.771,116,J1-16,RF-DIFFERENTIAL PAIR 100 OHM P,
